term,Estimate,t value,p-value
raceAsian:p_negative,-0.7407236163092954,-1.0687948803566916,0.2854065891334821
raceBlack:p_negative,-1.0753909403172524,-1.5339697191055655,0.12533691584443124
raceMixed:p_negative,1.3527669653808898,1.0491843811528647,0.294333548460763
