race,avg_practical,avg_emotional,avg_emergency,avg_appraisal,avg_burdensome,avg_conflict,avg_demands
Asian,2.021857923497268,2.8524590163934427,2.918032786885246,2.9726775956284155,3.9453551912568305,1.289617486338798,1.5573770491803278
Black,1.6818181818181819,2.5454545454545454,2.621212121212121,2.0757575757575757,3.196969696969697,1.196969696969697,2.0606060606060606
Mixed,2.111111111111111,3.2857142857142856,3.2698412698412698,2.7777777777777777,4.301587301587301,1.8095238095238095,1.619047619047619
White,1.909433962264151,3.452830188679245,3.161006289308176,3.0050314465408805,4.067924528301887,1.2893081761006289,1.8729559748427673
