term,Estimate,t value,p-value,term_label
raceMixed:p_ambivalent,-4.4574,-2.7787,0.0056,Mixed × Ambivalent
raceBlack:p_reciprocal,-1.2893,-2.0318,0.0424,Black × Reciprocal
